"Country","Year","Monday Beta","Monday P-value","Friday Beta","Friday P-value","January Beta","January P-value","April Beta","April P-value","December Beta","December P-value","Halloween Beta","Halloween P-value","CES A","CES B","CES C"
"Norway",2000,-0.159626998342467,0.428683500681445,0.315971680779912,0.109658787583777,-0.116222341727997,0.680338306093508,-0.244618441947325,0.431156361771343,-0.127490862379513,0.665818254953291,-0.225725237386262,0.143570425582011,0,0,0
"Norway",2001,-0.0501719641573045,0.804786764849663,0.000264322811258665,0.998937091221662,0.342618366529763,0.210055946878897,0.510509293348868,0.0885532685200261,0.427224876458768,0.164591870584328,0.281554447676358,0.0685593209335667,0,0,0
"Norway",2002,-0.112317592782358,0.602663301772408,0.0151866634402109,0.943869828327371,-0.00244037845696184,0.993466848987583,-0.0588813461101502,0.846586493264135,-0.150256165519829,0.645279192781582,0.29180132130042,0.0798364753885682,0,0,0
"Norway",2003,0.0339614802582259,0.829457619400578,0.203530539201973,0.197481773713072,-0.368781887164687,0.0880919673690762,0.376107767962337,0.103424165751213,0.194248302704487,0.399382663048126,-0.153075262311522,0.210180778092064,0,0,0
"Norway",2004,-0.0422946550456089,0.776634166142681,0.0818414436957946,0.58021451728381,0.197116982435814,0.344349435743958,-0.280633845254528,0.198577951187569,-0.0926474278738704,0.656494525473825,0.0444189491067005,0.69716833065358,0,0,0
"Norway",2005,0.310958061681325,0.085942719245903,0.233207094190758,0.190527315443207,-0.0373065579605973,0.883330643757504,-0.351266102968155,0.167857343998428,0.116274248636753,0.647464139766247,-0.0647446956578355,0.641499841429353,0,0,0
"Norway",2006,-0.271343060024839,0.282256128935761,0.0710909536736773,0.77292973407247,0.332326052983145,0.333520749351439,0.165621085310187,0.667926889902137,0.256046382352947,0.485417821155578,0.261118338853773,0.173948411680327,0,0,0
"Norway",2007,0.0711107911996976,0.731706032777863,0.202581845772015,0.318083754218357,0.158533975782456,0.574656032112389,0.179822682213851,0.561094075945207,-0.056474902124133,0.858824448849842,-0.0480213409472482,0.76173635036945,0,0,0
"Norway",2008,0.161959203199057,0.737751131960848,-0.0417020016661094,0.931288831411155,-0.638279664350164,0.337943284103941,0.870298208769259,0.191714406843247,0.417886155200502,0.556833046284655,0.336716938347602,0.366668192549492,0,0,0
"Norway",2009,-0.262198506326924,0.42405398589884,0.125047887829943,0.705022422655098,-0.0700151357509785,0.87989745411882,0.393227137843429,0.417645469191321,0.146108000434377,0.757761712214226,-0.0307155593255048,0.903692223944111,0,0,0
